numero,code,nom,email,ville,store_link,commission_rate,total_earnings,status,niveau
#012,AFF-012-NVQ8,Rose Fournier,rose.fournier607@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-012-NVQ8,20.0,64.0,active,Débutant
#013,AFF-013-SDCK,Marie Michel,marie.michel582@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-013-SDCK,20.0,16.0,active,Débutant
#014,AFF-014-9GDM,Alexandre Moreau,alexandre.moreau89@gmail.com,Saint-Denis,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-014-9GDM,20.0,40.0,active,Débutant
#015,AFF-015-4FEY,Clara David,clara.david886@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-015-4FEY,20.0,8.0,active,Débutant
#016,AFF-016-47C5,Hugo Mercier,hugo.mercier202@gmail.com,Strasbourg,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-016-47C5,20.0,32.0,active,Débutant
#017,AFF-017-F8PO,Manon Thomas,manon.thomas868@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-017-F8PO,20.0,112.0,active,Intermédiaire
#018,AFF-018-I3QE,Jules Moreau,jules.moreau130@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-018-I3QE,20.0,112.0,active,Intermédiaire
#019,AFF-019-AVTD,Louis Morel,louis.morel774@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-019-AVTD,20.0,120.0,active,Intermédiaire
#020,AFF-020-JL7A,Hugo Simon,hugo.simon368@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-020-JL7A,20.0,128.0,active,Intermédiaire
#021,AFF-021-MSO4,Nathan Vincent,nathan.vincent111@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-021-MSO4,20.0,24.0,active,Débutant
#022,AFF-022-KH7O,Adam Martin,adam.martin628@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-022-KH7O,20.0,88.0,active,Débutant
#023,AFF-023-7NTP,Sophie Simon,sophie.simon665@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-023-7NTP,20.0,56.0,active,Débutant
#024,AFF-024-1X7H,Benjamin Lambert,benjamin.lambert756@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-024-1X7H,20.0,8.0,active,Débutant
#025,AFF-025-SB9D,Lucas Simon,lucas.simon733@gmail.com,Rennes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-025-SB9D,20.0,144.0,active,Intermédiaire
#026,AFF-026-02GU,Thomas Lambert,thomas.lambert105@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-026-02GU,20.0,88.0,active,Débutant
#027,AFF-027-33BN,Nicolas Lefebvre,nicolas.lefebvre967@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-027-33BN,20.0,0.0,active,Débutant
#028,AFF-028-637I,Tom Roux,tom.roux649@gmail.com,Villeurbanne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-028-637I,20.0,0.0,active,Débutant
#029,AFF-029-Q5H9,Laura Durand,laura.durand64@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-029-Q5H9,20.0,72.0,active,Débutant
#030,AFF-030-YRYG,Clara Faure,clara.faure251@gmail.com,Grenoble,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-030-YRYG,20.0,80.0,active,Débutant
#031,AFF-031-W2SX,Léa Girard,léa.girard754@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-031-W2SX,20.0,24.0,active,Débutant
#032,AFF-032-YSKE,Lucie Fournier,lucie.fournier646@gmail.com,Reims,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-032-YSKE,20.0,24.0,active,Débutant
#033,AFF-033-1GR6,Lisa Bertrand,lisa.bertrand991@gmail.com,Montpellier,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-033-1GR6,20.0,128.0,active,Intermédiaire
#034,AFF-034-1NJ0,Margot David,margot.david164@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-034-1NJ0,20.0,80.0,active,Débutant
#035,AFF-035-2IZ1,Rose Michel,rose.michel885@gmail.com,Bordeaux,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-035-2IZ1,20.0,40.0,active,Débutant
#036,AFF-036-PH3C,Hugo Michel,hugo.michel498@gmail.com,Tours,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-036-PH3C,20.0,56.0,active,Débutant
#037,AFF-037-8HYY,Julien Bernard,julien.bernard56@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-037-8HYY,20.0,112.0,active,Intermédiaire
#038,AFF-038-8OEU,Lucie Garcia,lucie.garcia633@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-038-8OEU,20.0,104.0,active,Intermédiaire
#039,AFF-039-25L0,Zoé Petit,zoé.petit545@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-039-25L0,20.0,176.0,active,Intermédiaire
#040,AFF-040-QY2T,Emma Morel,emma.morel352@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-040-QY2T,20.0,144.0,active,Intermédiaire
#041,AFF-041-FAHX,Lucas Martin,lucas.martin951@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-041-FAHX,20.0,56.0,active,Débutant
#042,AFF-042-TOPN,Raphaël Michel,raphaël.michel799@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-042-TOPN,20.0,40.0,active,Débutant
#043,AFF-043-2AJZ,Zoé Bonnet,zoé.bonnet966@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-043-2AJZ,20.0,8.0,active,Débutant
#044,AFF-044-X91Q,Zoé Fournier,zoé.fournier973@gmail.com,Tours,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-044-X91Q,20.0,40.0,active,Débutant
#045,AFF-045-8AQY,Julien Dupont,julien.dupont244@gmail.com,Grenoble,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-045-8AQY,20.0,8.0,active,Débutant
#046,AFF-046-F936,Victor Simon,victor.simon386@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-046-F936,20.0,104.0,active,Intermédiaire
#047,AFF-047-VW1M,Anna Richard,anna.richard879@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-047-VW1M,20.0,152.0,active,Intermédiaire
#048,AFF-048-FCHL,Louise Fournier,louise.fournier620@gmail.com,Strasbourg,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-048-FCHL,20.0,64.0,active,Débutant
#049,AFF-049-DZBI,Manon Girard,manon.girard750@gmail.com,Limoges,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-049-DZBI,20.0,136.0,active,Intermédiaire
#050,AFF-050-PF8K,Sarah Dupont,sarah.dupont796@gmail.com,Grenoble,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-050-PF8K,20.0,48.0,active,Débutant
#051,AFF-051-5YOP,Camille Legrand,camille.legrand923@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-051-5YOP,20.0,104.0,active,Intermédiaire
#052,AFF-052-6Y51,Noah Moreau,noah.moreau432@gmail.com,Angers,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-052-6Y51,20.0,48.0,active,Débutant
#053,AFF-053-73LG,Louis Vincent,louis.vincent943@gmail.com,Brest,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-053-73LG,20.0,128.0,active,Intermédiaire
#054,AFF-054-1JDI,Rose Mercier,rose.mercier787@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-054-1JDI,20.0,152.0,active,Intermédiaire
#055,AFF-055-9326,Léa Faure,léa.faure790@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-055-9326,20.0,16.0,active,Débutant
#056,AFF-056-R02K,Sarah Lambert,sarah.lambert284@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-056-R02K,20.0,24.0,active,Débutant
#057,AFF-057-W2GB,Victor Petit,victor.petit686@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-057-W2GB,20.0,112.0,active,Intermédiaire
#058,AFF-058-R1PW,Inès Garcia,inès.garcia808@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-058-R1PW,20.0,88.0,active,Débutant
#059,AFF-059-0DN1,Tom Bernard,tom.bernard730@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-059-0DN1,20.0,80.0,active,Débutant
#060,AFF-060-MHEH,Raphaël Durand,raphaël.durand894@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-060-MHEH,20.0,144.0,active,Intermédiaire
#061,AFF-061-EBYZ,Emma Mercier,emma.mercier106@gmail.com,Toulouse,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-061-EBYZ,20.0,8.0,active,Débutant
#062,AFF-062-9YXL,Jules Moreau,jules.moreau490@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-062-9YXL,20.0,24.0,active,Débutant
#063,AFF-063-EHT1,Chloé Thomas,chloé.thomas384@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-063-EHT1,20.0,144.0,active,Intermédiaire
#064,AFF-064-QUBM,Zoé Thomas,zoé.thomas786@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-064-QUBM,20.0,8.0,active,Débutant
#065,AFF-065-JFVW,Charlotte François,charlotte.françois546@gmail.com,Villeurbanne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-065-JFVW,20.0,136.0,active,Intermédiaire
#066,AFF-066-1HCK,Rose Lefebvre,rose.lefebvre920@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-066-1HCK,20.0,32.0,active,Débutant
#067,AFF-067-GF82,Laura Durand,laura.durand450@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-067-GF82,20.0,8.0,active,Débutant
#068,AFF-068-KVGS,Noah Girard,noah.girard328@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-068-KVGS,20.0,112.0,active,Intermédiaire
#069,AFF-069-79OS,Adam Thomas,adam.thomas48@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-069-79OS,20.0,24.0,active,Débutant
#070,AFF-070-5SAJ,Adam Richard,adam.richard446@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-070-5SAJ,20.0,24.0,active,Débutant
#071,AFF-071-PDZN,Benjamin Bonnet,benjamin.bonnet140@gmail.com,Nîmes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-071-PDZN,20.0,0.0,active,Débutant
#072,AFF-072-CGMU,Sophie Laurent,sophie.laurent411@gmail.com,Strasbourg,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-072-CGMU,20.0,40.0,active,Débutant
#073,AFF-073-F8SA,Lucas Dupont,lucas.dupont553@gmail.com,Rennes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-073-F8SA,20.0,48.0,active,Débutant
#074,AFF-074-76E7,Louise Vincent,louise.vincent156@gmail.com,Angers,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-074-76E7,20.0,8.0,active,Débutant
#075,AFF-075-TQW7,Laura Garnier,laura.garnier623@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-075-TQW7,20.0,0.0,active,Débutant
#076,AFF-076-G3Z6,Jade Laurent,jade.laurent422@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-076-G3Z6,20.0,80.0,active,Débutant
#077,AFF-077-LPQ5,Manon Durand,manon.durand528@gmail.com,Nîmes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-077-LPQ5,20.0,40.0,active,Débutant
#078,AFF-078-DAHH,Camille Bonnet,camille.bonnet430@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-078-DAHH,20.0,16.0,active,Débutant
#079,AFF-079-1PT1,Inès Bertrand,inès.bertrand716@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-079-1PT1,20.0,24.0,active,Débutant
#080,AFF-080-KBEP,Nicolas Garcia,nicolas.garcia981@gmail.com,Le Havre,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-080-KBEP,20.0,128.0,active,Intermédiaire
#081,AFF-081-YAXX,Alice Moreau,alice.moreau76@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-081-YAXX,20.0,48.0,active,Débutant
#082,AFF-082-X6WP,Julie Faure,julie.faure841@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-082-X6WP,20.0,0.0,active,Débutant
#083,AFF-083-3EMT,Raphaël Bernard,raphaël.bernard269@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-083-3EMT,20.0,80.0,active,Débutant
#084,AFF-084-VBDY,Rose Bertrand,rose.bertrand934@gmail.com,Brest,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-084-VBDY,20.0,40.0,active,Débutant
#085,AFF-085-EK17,Lisa Leroy,lisa.leroy175@gmail.com,Toulouse,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-085-EK17,20.0,64.0,active,Débutant
#086,AFF-086-UEG9,Hugo Garcia,hugo.garcia588@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-086-UEG9,20.0,80.0,active,Débutant
#087,AFF-087-HKAH,Inès Roux,inès.roux114@gmail.com,Saint-Denis,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-087-HKAH,20.0,56.0,active,Débutant
#088,AFF-088-LRTL,Alexandre Mercier,alexandre.mercier744@gmail.com,Toulouse,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-088-LRTL,20.0,64.0,active,Débutant
#089,AFF-089-AUHM,Lisa Leroy,lisa.leroy671@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-089-AUHM,20.0,80.0,active,Débutant
#090,AFF-090-7KMA,Arthur Garcia,arthur.garcia15@gmail.com,Saint-Denis,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-090-7KMA,20.0,80.0,active,Débutant
#091,AFF-091-7R6A,Anna André,anna.andré854@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-091-7R6A,20.0,168.0,active,Intermédiaire
#092,AFF-092-K6H1,Lisa Lambert,lisa.lambert28@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-092-K6H1,20.0,56.0,active,Débutant
#093,AFF-093-L8CO,Inès Bernard,inès.bernard597@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-093-L8CO,20.0,48.0,active,Débutant
#094,AFF-094-H9NL,Alex Martinez,alex.martinez345@gmail.com,Montpellier,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-094-H9NL,20.0,120.0,active,Intermédiaire
#095,AFF-095-90NN,Lucie Robert,lucie.robert832@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-095-90NN,20.0,24.0,active,Débutant
#096,AFF-096-C89Y,Romain Durand,romain.durand674@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-096-C89Y,20.0,56.0,active,Débutant
#097,AFF-097-1BKK,Maxime Dupont,maxime.dupont292@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-097-1BKK,20.0,160.0,active,Intermédiaire
#098,AFF-098-AYZR,Léa Lefebvre,léa.lefebvre610@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-098-AYZR,20.0,128.0,active,Intermédiaire
#099,AFF-099-E8TN,Zoé Durand,zoé.durand584@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-099-E8TN,20.0,32.0,active,Débutant
#100,AFF-100-7Z6F,Théo Michel,théo.michel286@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-100-7Z6F,20.0,48.0,active,Débutant
#101,AFF-101-ES6O,Alexandre Michel,alexandre.michel220@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-101-ES6O,20.0,32.0,active,Débutant
#102,AFF-102-LDGR,Camille Dupont,camille.dupont307@gmail.com,Reims,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-102-LDGR,20.0,72.0,active,Débutant
#103,AFF-103-SYSH,Inès Durand,inès.durand359@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-103-SYSH,20.0,104.0,active,Intermédiaire
#104,AFF-104-KWU6,Nathan Thomas,nathan.thomas614@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-104-KWU6,20.0,120.0,active,Intermédiaire
#105,AFF-105-PVSN,Antoine Faure,antoine.faure713@gmail.com,Perpignan,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-105-PVSN,20.0,16.0,active,Débutant
#106,AFF-106-SGY8,Jade Durand,jade.durand524@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-106-SGY8,20.0,40.0,active,Débutant
#107,AFF-107-5EP0,Théo Mercier,théo.mercier953@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-107-5EP0,20.0,0.0,active,Débutant
#108,AFF-108-67EH,Eva Durand,eva.durand703@gmail.com,Le Havre,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-108-67EH,20.0,8.0,active,Débutant
#109,AFF-109-BQ6U,Julie Robert,julie.robert295@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-109-BQ6U,20.0,56.0,active,Débutant
#110,AFF-110-W3XT,Rose Lambert,rose.lambert261@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-110-W3XT,20.0,56.0,active,Débutant
#111,AFF-111-ER3N,Nicolas François,nicolas.françois486@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-111-ER3N,20.0,160.0,active,Intermédiaire
#112,AFF-112-HUE5,Gabriel David,gabriel.david948@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-112-HUE5,20.0,64.0,active,Débutant
#113,AFF-113-Z4LR,Rose Leroy,rose.leroy104@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-113-Z4LR,20.0,72.0,active,Débutant
#114,AFF-114-JVUW,Louise Garcia,louise.garcia837@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-114-JVUW,20.0,24.0,active,Débutant
#115,AFF-115-ZVUC,Gabriel Bonnet,gabriel.bonnet341@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-115-ZVUC,20.0,0.0,active,Débutant
#116,AFF-116-GH67,Clara Fournier,clara.fournier871@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-116-GH67,20.0,48.0,active,Débutant
#117,AFF-117-CM2E,Benjamin Durand,benjamin.durand241@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-117-CM2E,20.0,24.0,active,Débutant
#118,AFF-118-0N7E,Tom Lefebvre,tom.lefebvre50@gmail.com,Aix-en-Provence,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-118-0N7E,20.0,96.0,active,Débutant
#119,AFF-119-K8OO,Lucas Moreau,lucas.moreau364@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-119-K8OO,20.0,104.0,active,Intermédiaire
#120,AFF-120-LIBU,Paul Roux,paul.roux65@gmail.com,Nîmes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-120-LIBU,20.0,0.0,active,Débutant
#121,AFF-121-FA0V,Théo Laurent,théo.laurent752@gmail.com,Nantes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-121-FA0V,20.0,8.0,active,Débutant
#122,AFF-122-TY7U,Hugo Dubois,hugo.dubois937@gmail.com,Angers,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-122-TY7U,20.0,104.0,active,Intermédiaire
#123,AFF-123-SW11,Lola Garcia,lola.garcia132@gmail.com,Nantes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-123-SW11,20.0,64.0,active,Débutant
#124,AFF-124-DX1I,Adam Morel,adam.morel629@gmail.com,Bordeaux,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-124-DX1I,20.0,64.0,active,Débutant
#125,AFF-125-TQT2,Zoé Legrand,zoé.legrand124@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-125-TQT2,20.0,136.0,active,Intermédiaire
#126,AFF-126-Q087,Léa David,léa.david537@gmail.com,Toulouse,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-126-Q087,20.0,32.0,active,Débutant
#127,AFF-127-JWOL,Lucie Leroy,lucie.leroy749@gmail.com,Bordeaux,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-127-JWOL,20.0,8.0,active,Débutant
#128,AFF-128-7FXW,Sarah Lambert,sarah.lambert135@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-128-7FXW,20.0,40.0,active,Débutant
#129,AFF-129-2P53,Alex Moreau,alex.moreau923@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-129-2P53,20.0,80.0,active,Débutant
#130,AFF-130-CHRQ,Raphaël Durand,raphaël.durand971@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-130-CHRQ,20.0,64.0,active,Débutant
#131,AFF-131-HG0Z,Inès Thomas,inès.thomas373@gmail.com,Rennes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-131-HG0Z,20.0,24.0,active,Débutant
#132,AFF-132-KE30,Camille Leroy,camille.leroy680@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-132-KE30,20.0,64.0,active,Débutant
#133,AFF-133-BAHL,Louis Michel,louis.michel393@gmail.com,Aix-en-Provence,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-133-BAHL,20.0,48.0,active,Débutant
#134,AFF-134-84Q3,Lucas Martin,lucas.martin606@gmail.com,Brest,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-134-84Q3,20.0,152.0,active,Intermédiaire
#135,AFF-135-953J,Alex François,alex.françois317@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-135-953J,20.0,24.0,active,Débutant
#136,AFF-136-QXB4,Lola Michel,lola.michel26@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-136-QXB4,20.0,8.0,active,Débutant
#137,AFF-137-XLCN,Antoine Girard,antoine.girard973@gmail.com,Aix-en-Provence,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-137-XLCN,20.0,40.0,active,Débutant
#138,AFF-138-PDVF,Alex Morel,alex.morel728@gmail.com,Brest,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-138-PDVF,20.0,64.0,active,Débutant
#139,AFF-139-Z2FT,Jade Moreau,jade.moreau199@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-139-Z2FT,20.0,0.0,active,Débutant
#140,AFF-140-EXN7,Louise Vincent,louise.vincent217@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-140-EXN7,20.0,168.0,active,Intermédiaire
#141,AFF-141-ON2T,Victor Mercier,victor.mercier684@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-141-ON2T,20.0,104.0,active,Intermédiaire
#142,AFF-142-494Y,Camille Thomas,camille.thomas696@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-142-494Y,20.0,144.0,active,Intermédiaire
#143,AFF-143-K0NJ,Sophie Dubois,sophie.dubois865@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-143-K0NJ,20.0,104.0,active,Intermédiaire
#144,AFF-144-BXSH,Alex François,alex.françois28@gmail.com,Aix-en-Provence,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-144-BXSH,20.0,24.0,active,Débutant
#145,AFF-145-52TT,Arthur Moreau,arthur.moreau155@gmail.com,Besançon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-145-52TT,20.0,24.0,active,Débutant
